"Label (Grouping)","Minnesota!!Count","Minnesota!!Percent","Aitkin County, Minnesota!!Count","Aitkin County, Minnesota!!Percent","Anoka County, Minnesota!!Count","Anoka County, Minnesota!!Percent","Becker County, Minnesota!!Count","Becker County, Minnesota!!Percent","Beltrami County, Minnesota!!Count","Beltrami County, Minnesota!!Percent","Benton County, Minnesota!!Count","Benton County, Minnesota!!Percent","Big Stone County, Minnesota!!Count","Big Stone County, Minnesota!!Percent","Blue Earth County, Minnesota!!Count","Blue Earth County, Minnesota!!Percent","Brown County, Minnesota!!Count","Brown County, Minnesota!!Percent","Carlton County, Minnesota!!Count","Carlton County, Minnesota!!Percent","Carver County, Minnesota!!Count","Carver County, Minnesota!!Percent","Cass County, Minnesota!!Count","Cass County, Minnesota!!Percent","Chippewa County, Minnesota!!Count","Chippewa County, Minnesota!!Percent","Chisago County, Minnesota!!Count","Chisago County, Minnesota!!Percent","Clay County, Minnesota!!Count","Clay County, Minnesota!!Percent","Clearwater County, Minnesota!!Count","Clearwater County, Minnesota!!Percent","Cook County, Minnesota!!Count","Cook County, Minnesota!!Percent","Cottonwood County, Minnesota!!Count","Cottonwood County, Minnesota!!Percent","Crow Wing County, Minnesota!!Count","Crow Wing County, Minnesota!!Percent","Dakota County, Minnesota!!Count","Dakota County, Minnesota!!Percent","Dodge County, Minnesota!!Count","Dodge County, Minnesota!!Percent","Douglas County, Minnesota!!Count","Douglas County, Minnesota!!Percent","Faribault County, Minnesota!!Count","Faribault County, Minnesota!!Percent","Fillmore County, Minnesota!!Count","Fillmore County, Minnesota!!Percent","Freeborn County, Minnesota!!Count","Freeborn County, Minnesota!!Percent","Goodhue County, Minnesota!!Count","Goodhue County, Minnesota!!Percent","Grant County, Minnesota!!Count","Grant County, Minnesota!!Percent","Hennepin County, Minnesota!!Count","Hennepin County, Minnesota!!Percent","Houston County, Minnesota!!Count","Houston County, Minnesota!!Percent","Hubbard County, Minnesota!!Count","Hubbard County, Minnesota!!Percent","Isanti County, Minnesota!!Count","Isanti County, Minnesota!!Percent","Itasca County, Minnesota!!Count","Itasca County, Minnesota!!Percent","Jackson County, Minnesota!!Count","Jackson County, Minnesota!!Percent","Kanabec County, Minnesota!!Count","Kanabec County, Minnesota!!Percent","Kandiyohi County, Minnesota!!Count","Kandiyohi County, Minnesota!!Percent","Kittson County, Minnesota!!Count","Kittson County, Minnesota!!Percent","Koochiching County, Minnesota!!Count","Koochiching County, Minnesota!!Percent","Lac qui Parle County, Minnesota!!Count","Lac qui Parle County, Minnesota!!Percent","Lake County, Minnesota!!Count","Lake County, Minnesota!!Percent","Lake of the Woods County, Minnesota!!Count","Lake of the Woods County, Minnesota!!Percent","Le Sueur County, Minnesota!!Count","Le Sueur County, Minnesota!!Percent","Lincoln County, Minnesota!!Count","Lincoln County, Minnesota!!Percent","Lyon County, Minnesota!!Count","Lyon County, Minnesota!!Percent","McLeod County, Minnesota!!Count","McLeod County, Minnesota!!Percent","Mahnomen County, Minnesota!!Count","Mahnomen County, Minnesota!!Percent","Marshall County, Minnesota!!Count","Marshall County, Minnesota!!Percent","Martin County, Minnesota!!Count","Martin County, Minnesota!!Percent","Meeker County, Minnesota!!Count","Meeker County, Minnesota!!Percent","Mille Lacs County, Minnesota!!Count","Mille Lacs County, Minnesota!!Percent","Morrison County, Minnesota!!Count","Morrison County, Minnesota!!Percent","Mower County, Minnesota!!Count","Mower County, Minnesota!!Percent","Murray County, Minnesota!!Count","Murray County, Minnesota!!Percent","Nicollet County, Minnesota!!Count","Nicollet County, Minnesota!!Percent","Nobles County, Minnesota!!Count","Nobles County, Minnesota!!Percent","Norman County, Minnesota!!Count","Norman County, Minnesota!!Percent","Olmsted County, Minnesota!!Count","Olmsted County, Minnesota!!Percent","Otter Tail County, Minnesota!!Count","Otter Tail County, Minnesota!!Percent","Pennington County, Minnesota!!Count","Pennington County, Minnesota!!Percent","Pine County, Minnesota!!Count","Pine County, Minnesota!!Percent","Pipestone County, Minnesota!!Count","Pipestone County, Minnesota!!Percent","Polk County, Minnesota!!Count","Polk County, Minnesota!!Percent","Pope County, Minnesota!!Count","Pope County, Minnesota!!Percent","Ramsey County, Minnesota!!Count","Ramsey County, Minnesota!!Percent","Red Lake County, Minnesota!!Count","Red Lake County, Minnesota!!Percent","Redwood County, Minnesota!!Count","Redwood County, Minnesota!!Percent","Renville County, Minnesota!!Count","Renville County, Minnesota!!Percent","Rice County, Minnesota!!Count","Rice County, Minnesota!!Percent","Rock County, Minnesota!!Count","Rock County, Minnesota!!Percent","Roseau County, Minnesota!!Count","Roseau County, Minnesota!!Percent","St. Louis County, Minnesota!!Count","St. Louis County, Minnesota!!Percent","Scott County, Minnesota!!Count","Scott County, Minnesota!!Percent","Sherburne County, Minnesota!!Count","Sherburne County, Minnesota!!Percent","Sibley County, Minnesota!!Count","Sibley County, Minnesota!!Percent","Stearns County, Minnesota!!Count","Stearns County, Minnesota!!Percent","Steele County, Minnesota!!Count","Steele County, Minnesota!!Percent","Stevens County, Minnesota!!Count","Stevens County, Minnesota!!Percent","Swift County, Minnesota!!Count","Swift County, Minnesota!!Percent","Todd County, Minnesota!!Count","Todd County, Minnesota!!Percent","Traverse County, Minnesota!!Count","Traverse County, Minnesota!!Percent","Wabasha County, Minnesota!!Count","Wabasha County, Minnesota!!Percent","Wadena County, Minnesota!!Count","Wadena County, Minnesota!!Percent","Waseca County, Minnesota!!Count","Waseca County, Minnesota!!Percent","Washington County, Minnesota!!Count","Washington County, Minnesota!!Percent","Watonwan County, Minnesota!!Count","Watonwan County, Minnesota!!Percent","Wilkin County, Minnesota!!Count","Wilkin County, Minnesota!!Percent","Winona County, Minnesota!!Count","Winona County, Minnesota!!Percent","Wright County, Minnesota!!Count","Wright County, Minnesota!!Percent","Yellow Medicine County, Minnesota!!Count","Yellow Medicine County, Minnesota!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","5,706,494","100.0%","15,697","100.0%","363,887","100.0%","35,183","100.0%","46,228","100.0%","41,379","100.0%","5,166","100.0%","69,112","100.0%","25,912","100.0%","36,207","100.0%","106,922","100.0%","30,066","100.0%","12,598","100.0%","56,621","100.0%","65,318","100.0%","8,524","100.0%","5,600","100.0%","11,517","100.0%","66,123","100.0%","439,882","100.0%","20,867","100.0%","39,006","100.0%","13,921","100.0%","21,228","100.0%","30,895","100.0%","47,582","100.0%","6,074","100.0%","1,281,565","100.0%","18,843","100.0%","21,344","100.0%","41,135","100.0%","45,014","100.0%","9,989","100.0%","16,032","100.0%","43,732","100.0%","4,207","100.0%","12,062","100.0%","6,719","100.0%","10,905","100.0%","3,763","100.0%","28,674","100.0%","5,640","100.0%","25,269","100.0%","36,771","100.0%","5,411","100.0%","9,040","100.0%","20,025","100.0%","23,400","100.0%","26,459","100.0%","34,010","100.0%","40,029","100.0%","8,179","100.0%","34,454","100.0%","22,290","100.0%","6,441","100.0%","162,847","100.0%","60,081","100.0%","13,992","100.0%","28,876","100.0%","9,424","100.0%","31,192","100.0%","11,308","100.0%","552,352","100.0%","3,935","100.0%","15,425","100.0%","14,723","100.0%","67,097","100.0%","9,704","100.0%","15,331","100.0%","200,231","100.0%","150,928","100.0%","97,183","100.0%","14,836","100.0%","158,292","100.0%","37,406","100.0%","9,671","100.0%","9,838","100.0%","25,262","100.0%","3,360","100.0%","21,387","100.0%","14,065","100.0%","18,968","100.0%","267,568","100.0%","11,253","100.0%","6,506","100.0%","49,671","100.0%","141,337","100.0%","9,528","100.0%"
"        Under 5 years","340,357","6.0%","585","3.7%","22,647","6.2%","2,047","5.8%","3,126","6.8%","2,714","6.6%","307","5.9%","3,761","5.4%","1,348","5.2%","1,880","5.2%","6,859","6.4%","1,420","4.7%","817","6.5%","3,149","5.6%","4,441","6.8%","503","5.9%","217","3.9%","680","5.9%","3,397","5.1%","27,343","6.2%","1,270","6.1%","2,233","5.7%","742","5.3%","1,311","6.2%","1,639","5.3%","2,603","5.5%","353","5.8%","75,085","5.9%","1,045","5.5%","1,142","5.4%","2,523","6.1%","2,332","5.2%","577","5.8%","812","5.1%","2,816","6.4%","216","5.1%","519","4.3%","343","5.1%","488","4.5%","180","4.8%","1,721","6.0%","319","5.7%","1,697","6.7%","1,981","5.4%","426","7.9%","615","6.8%","1,157","5.8%","1,396","6.0%","1,470","5.6%","1,926","5.7%","2,639","6.6%","443","5.4%","1,906","5.5%","1,689","7.6%","374","5.8%","10,228","6.3%","3,422","5.7%","789","5.6%","1,347","4.7%","588","6.2%","2,012","6.5%","626","5.5%","34,875","6.3%","211","5.4%","1,033","6.7%","826","5.6%","3,793","5.7%","560","5.8%","842","5.5%","9,757","4.9%","9,715","6.4%","6,332","6.5%","839","5.7%","10,115","6.4%","2,171","5.8%","608","6.3%","588","6.0%","1,660","6.6%","180","5.4%","1,129","5.3%","894","6.4%","1,059","5.6%","15,278","5.7%","777","6.9%","395","6.1%","2,385","4.8%","9,548","6.8%","546","5.7%"
"        5 to 9 years","366,937","6.4%","668","4.3%","24,168","6.6%","2,407","6.8%","3,180","6.9%","3,015","7.3%","313","6.1%","3,999","5.8%","1,542","6.0%","2,202","6.1%","8,205","7.7%","1,809","6.0%","849","6.7%","3,589","6.3%","4,779","7.3%","574","6.7%","259","4.6%","798","6.9%","3,878","5.9%","29,858","6.8%","1,556","7.5%","2,291","5.9%","845","6.1%","1,401","6.6%","1,977","6.4%","2,968","6.2%","410","6.8%","75,913","5.9%","1,154","6.1%","1,365","6.4%","2,672","6.5%","2,602","5.8%","640","6.4%","930","5.8%","2,995","6.8%","271","6.4%","610","5.1%","410","6.1%","560","5.1%","183","4.9%","1,823","6.4%","382","6.8%","1,777","7.0%","2,264","6.2%","479","8.9%","562","6.2%","1,179","5.9%","1,493","6.4%","1,687","6.4%","2,206","6.5%","2,775","6.9%","503","6.1%","2,210","6.4%","1,799","8.1%","354","5.5%","10,789","6.6%","3,675","6.1%","932","6.7%","1,642","5.7%","670","7.1%","2,170","7.0%","689","6.1%","35,434","6.4%","297","7.5%","1,051","6.8%","970","6.6%","4,035","6.0%","658","6.8%","1,062","6.9%","10,583","5.3%","11,374","7.5%","6,991","7.2%","922","6.2%","10,302","6.5%","2,652","7.1%","636","6.6%","633","6.4%","1,803","7.1%","212","6.3%","1,279","6.0%","998","7.1%","1,223","6.4%","18,411","6.9%","818","7.3%","408","6.3%","2,554","5.1%","11,125","7.9%","601","6.3%"
"        10 to 14 years","383,116","6.7%","853","5.4%","25,796","7.1%","2,480","7.0%","3,257","7.0%","2,938","7.1%","283","5.5%","4,038","5.8%","1,737","6.7%","2,577","7.1%","8,703","8.1%","1,887","6.3%","860","6.8%","3,925","6.9%","4,709","7.2%","656","7.7%","261","4.7%","793","6.9%","4,331","6.5%","31,086","7.1%","1,685","8.1%","2,463","6.3%","923","6.6%","1,568","7.4%","1,981","6.4%","3,166","6.7%","415","6.8%","76,399","6.0%","1,275","6.8%","1,492","7.0%","3,022","7.3%","2,854","6.3%","665","6.7%","1,073","6.7%","3,185","7.3%","269","6.4%","697","5.8%","443","6.6%","661","6.1%","201","5.3%","2,052","7.2%","386","6.8%","1,878","7.4%","2,464","6.7%","411","7.6%","599","6.6%","1,274","6.4%","1,673","7.1%","1,898","7.2%","2,528","7.4%","3,063","7.7%","544","6.7%","2,374","6.9%","1,754","7.9%","463","7.2%","11,110","6.8%","3,814","6.3%","902","6.4%","1,822","6.3%","692","7.3%","2,227","7.1%","771","6.8%","34,755","6.3%","287","7.3%","1,131","7.3%","995","6.8%","4,425","6.6%","771","7.9%","1,107","7.2%","11,255","5.6%","12,263","8.1%","7,691","7.9%","1,041","7.0%","10,552","6.7%","2,817","7.5%","659","6.8%","678","6.9%","1,898","7.5%","209","6.2%","1,378","6.4%","1,020","7.3%","1,308","6.9%","19,727","7.4%","789","7.0%","463","7.1%","2,758","5.6%","12,172","8.6%","661","6.9%"
"        15 to 19 years","374,919","6.6%","789","5.0%","24,301","6.7%","2,277","6.5%","3,464","7.5%","2,760","6.7%","278","5.4%","6,266","9.1%","1,691","6.5%","2,303","6.4%","8,000","7.5%","1,741","5.8%","715","5.7%","3,681","6.5%","5,135","7.9%","562","6.6%","226","4.0%","738","6.4%","3,995","6.0%","28,958","6.6%","1,549","7.4%","2,316","5.9%","793","5.7%","1,241","5.8%","1,962","6.4%","2,946","6.2%","361","5.9%","76,559","6.0%","1,108","5.9%","1,190","5.6%","2,618","6.4%","2,731","6.1%","610","6.1%","1,021","6.4%","2,980","6.8%","230","5.5%","694","5.8%","375","5.6%","518","4.8%","198","5.3%","1,906","6.6%","321","5.7%","1,737","6.9%","2,440","6.6%","388","7.2%","533","5.9%","1,144","5.7%","1,546","6.6%","1,696","6.4%","2,129","6.3%","2,774","6.9%","428","5.2%","2,865","8.3%","1,657","7.4%","433","6.7%","9,980","6.1%","3,406","5.7%","902","6.4%","1,641","5.7%","607","6.4%","2,193","7.0%","610","5.4%","36,153","6.5%","251","6.4%","986","6.4%","874","5.9%","5,378","8.0%","682","7.0%","1,020","6.7%","12,476","6.2%","11,326","7.5%","7,253","7.5%","973","6.6%","11,731","7.4%","2,545","6.8%","824","8.5%","595","6.0%","1,559","6.2%","192","5.7%","1,273","6.0%","851","6.1%","1,256","6.6%","18,579","6.9%","714","6.3%","422","6.5%","4,588","9.2%","10,625","7.5%","577","6.1%"
"        20 to 24 years","357,908","6.3%","493","3.1%","19,672","5.4%","1,542","4.4%","3,912","8.5%","2,495","6.0%","176","3.4%","9,625","13.9%","1,463","5.6%","1,609","4.4%","5,156","4.8%","1,020","3.4%","590","4.7%","2,805","5.0%","5,836","8.9%","375","4.4%","202","3.6%","530","4.6%","2,950","4.5%","23,490","5.3%","993","4.8%","1,856","4.8%","603","4.3%","899","4.2%","1,365","4.4%","2,234","4.7%","223","3.7%","93,029","7.3%","732","3.9%","776","3.6%","1,965","4.8%","1,819","4.0%","482","4.8%","664","4.1%","2,343","5.4%","164","3.9%","486","4.0%","252","3.8%","384","3.5%","122","3.2%","1,290","4.5%","233","4.1%","1,727","6.8%","1,867","5.1%","271","5.0%","407","4.5%","896","4.5%","1,144","4.9%","1,236","4.7%","1,551","4.6%","2,102","5.3%","313","3.8%","2,839","8.2%","1,442","6.5%","237","3.7%","9,813","6.0%","2,477","4.1%","814","5.8%","1,161","4.0%","423","4.5%","1,723","5.5%","378","3.3%","41,732","7.6%","165","4.2%","715","4.6%","649","4.4%","6,511","9.7%","415","4.3%","730","4.8%","15,623","7.8%","7,876","5.2%","5,332","5.5%","649","4.4%","13,694","8.7%","1,791","4.8%","981","10.1%","421","4.3%","1,146","4.5%","143","4.3%","864","4.0%","630","4.5%","905","4.8%","13,492","5.0%","567","5.0%","320","4.9%","5,752","11.6%","6,653","4.7%","476","5.0%"
"        25 to 29 years","366,334","6.4%","556","3.5%","21,732","6.0%","1,559","4.4%","2,879","6.2%","2,752","6.7%","255","4.9%","4,853","7.0%","1,258","4.9%","1,907","5.3%","4,671","4.4%","1,191","4.0%","727","5.8%","3,013","5.3%","4,051","6.2%","401","4.7%","250","4.5%","566","4.9%","3,446","5.2%","25,985","5.9%","1,121","5.4%","2,072","5.3%","650","4.7%","1,009","4.8%","1,630","5.3%","2,446","5.1%","285","4.7%","107,517","8.4%","849","4.5%","863","4.0%","2,345","5.7%","2,077","4.6%","508","5.1%","761","4.7%","2,651","6.1%","172","4.1%","544","4.5%","298","4.4%","415","3.8%","147","3.9%","1,499","5.2%","260","4.6%","1,507","6.0%","2,048","5.6%","266","4.9%","436","4.8%","1,047","5.2%","1,139","4.9%","1,461","5.5%","1,600","4.7%","2,296","5.7%","377","4.6%","1,836","5.3%","1,363","6.1%","304","4.7%","11,948","7.3%","2,772","4.6%","850","6.1%","1,409","4.9%","482","5.1%","1,624","5.2%","517","4.6%","44,718","8.1%","163","4.1%","833","5.4%","729","5.0%","3,421","5.1%","491","5.1%","755","4.9%","11,735","5.9%","7,778","5.2%","5,578","5.7%","775","5.2%","9,880","6.2%","1,953","5.2%","571","5.9%","502","5.1%","1,269","5.0%","174","5.2%","1,038","4.9%","726","5.2%","1,055","5.6%","13,436","5.0%","654","5.8%","308","4.7%","2,860","5.8%","7,035","5.0%","444","4.7%"
"        30 to 34 years","389,815","6.8%","595","3.8%","24,815","6.8%","1,928","5.5%","2,895","6.3%","2,845","6.9%","287","5.6%","4,372","6.3%","1,475","5.7%","2,199","6.1%","6,301","5.9%","1,361","4.5%","732","5.8%","3,631","6.4%","4,758","7.3%","457","5.4%","280","5.0%","672","5.8%","3,611","5.5%","29,863","6.8%","1,270","6.1%","2,220","5.7%","765","5.5%","1,177","5.5%","1,764","5.7%","2,818","5.9%","367","6.0%","105,135","8.2%","1,063","5.6%","1,111","5.2%","2,833","6.9%","2,274","5.1%","542","5.4%","852","5.3%","2,591","5.9%","215","5.1%","586","4.9%","314","4.7%","558","5.1%","203","5.4%","1,602","5.6%","269","4.8%","1,511","6.0%","2,263","6.2%","270","5.0%","510","5.6%","1,126","5.6%","1,297","5.5%","1,568","5.9%","1,979","5.8%","2,546","6.4%","429","5.2%","2,173","6.3%","1,468","6.6%","329","5.1%","12,271","7.5%","3,144","5.2%","928","6.6%","1,593","5.5%","534","5.7%","1,917","6.1%","624","5.5%","43,360","7.9%","225","5.7%","892","5.8%","815","5.5%","3,966","5.9%","522","5.4%","841","5.5%","12,551","6.3%","9,597","6.4%","6,730","6.9%","863","5.8%","9,923","6.3%","2,296","6.1%","601","6.2%","611","6.2%","1,378","5.5%","179","5.3%","1,217","5.7%","781","5.6%","1,190","6.3%","16,138","6.0%","667","5.9%","357","5.5%","2,703","5.4%","8,778","6.2%","548","5.8%"
"        35 to 39 years","394,491","6.9%","707","4.5%","26,057","7.2%","2,049","5.8%","2,789","6.0%","3,111","7.5%","301","5.8%","4,319","6.2%","1,546","6.0%","2,454","6.8%","7,814","7.3%","1,529","5.1%","798","6.3%","3,903","6.9%","4,513","6.9%","493","5.8%","312","5.6%","632","5.5%","3,905","5.9%","32,115","7.3%","1,387","6.6%","2,386","6.1%","858","6.2%","1,281","6.0%","1,827","5.9%","3,038","6.4%","359","5.9%","97,377","7.6%","1,163","6.2%","1,301","6.1%","2,793","6.8%","2,609","5.8%","599","6.0%","963","6.0%","2,658","6.1%","218","5.2%","645","5.3%","407","6.1%","615","5.6%","204","5.4%","1,890","6.6%","294","5.2%","1,549","6.1%","2,332","6.3%","283","5.2%","539","6.0%","1,201","6.0%","1,319","5.6%","1,628","6.2%","2,085","6.1%","2,587","6.5%","439","5.4%","2,399","7.0%","1,409","6.3%","371","5.8%","11,815","7.3%","3,447","5.7%","923","6.6%","1,933","6.7%","520","5.5%","2,007","6.4%","777","6.9%","39,245","7.1%","241","6.1%","926","6.0%","903","6.1%","4,135","6.2%","556","5.7%","831","5.4%","12,551","6.3%","11,074","7.3%","7,070","7.3%","940","6.3%","10,014","6.3%","2,534","6.8%","604","6.2%","605","6.1%","1,505","6.0%","187","5.6%","1,261","5.9%","742","5.3%","1,333","7.0%","18,629","7.0%","710","6.3%","399","6.1%","2,776","5.6%","10,328","7.3%","610","6.4%"
