Facility ID,Facility Name,Address,City,State,Zip Code,Phone Number,County,Licensee,State Facility Type 2 Literal,State Facility Type 1 Literal,Date Accessed,License Number,Capacity,Email Address,Ownership Type,Latitude,Longitude,FIPS,Total County AL Need,Percent of Population 65 or Older,Median Age,Homeownership Rate,College Education or Higher Rate,Percent Black Population,Median Home Value of Owned Homes,Percent Hispanic Population,Percent of Population 85 or Older,Median Household Income,Unemployment Rate,Less Than High School Diploma Rate,Percent Whilte Population,Gender Ratio,Poverty Rate,Total Population,Population 85 years and over,Population 65 years and over
35003,Safari Services Llc,5827 PELLER AVENUE NORTH,Stillwater,MN,55802,,Washington,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.0334091,-92.7944475,27163.0,10408.0,14.42,40.0,81.13,44.27,4.59,289400.0,4.19,1.6,96671.0,5.6,3.94,85.38,98.0,4.29,267568.0,4797.0,42879.0
34328,1-0 Granny'S Helpful Hands Llc,5915 CHICAGO AVENUE,Minneapolis,MN,55417,612-824-1177,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.8955395,-93.2624881,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
34395,1-0 Granny'S Helpful Hands Llc,4301 WELCOME AVENUE NORTH,Crystal,MN,55422,612-824-1177,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.033627,-93.3517812,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
32951,1-0 Granny'S Helpful Hands Llc,516 STEWART AVENUE,South St. Paul,MN,55075,612-824-1177,Dakota,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.8992101,-93.0412498,27037.0,14377.0,13.63,38.0,74.01,42.22,6.26,266000.0,7.14,1.56,86036.0,6.2,4.95,82.08,97.0,6.05,439882.0,7201.0,65206.0
34431,1-0 Granny'S Helpful Hands Llc,3057 14TH AVENUE SOUTH,Minneapolis,MN,55407,612-824-1177,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.9467251,-93.2546303,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36177,1-Belevo Health Services,1064 DALE STREET,St. Paul,MN,55107,651-448-4221,Ramsey,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.9733344,-93.1260396,27123.0,26708.0,14.09,35.0,59.44,42.26,12.09,229600.0,7.48,2.07,64660.0,6.9,9.72,66.35,95.0,13.97,552352.0,11268.0,85032.0
37600,12Th Ave Residence,8327 12TH AVENUE SOUTH,Bloomington,MN,55425,952-426-1629,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.8523959,-93.2577733,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36921,14Th Street House,2710 14TH STREET SOUTH,Moorhead,MN,56560,701-866-9835,Clay,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,46.8484721,-96.757123,27027.0,2878.0,12.91,33.0,67.49,34.17,3.68,197100.0,4.53,2.12,65269.0,4.3,5.11,90.58,98.0,12.26,65318.0,1321.0,9070.0
36559,1St Attentive Services Llc,8101 VINCENT AVENUE NORTH,Brooklyn Park,MN,55444,612-532-6423,Hennepin,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.1023857,-93.3169848,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
37101,1St Attentive Services Llc,1717 THOMAS AVENUE NORTH,Minneapolis,MN,55411,612-688-7600,Hennepin,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.9976022,-93.3136343,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36301,1St Care Inc,8801 10TH AVENUE SOUTH,Bloomington,MN,55420,651-246-7209,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,44.8441458,-93.2602878,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36924,1St Choice Home Llc,1440 EAST OLD SHAKOPEE ROAD,Bloomington,MN,55425,952-201-4493,Hennepin,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.8336726,-93.2529607,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
33962,2 Caring Hands,13220 HUMBOLDT AVENUE SOUTH,Burnsville,MN,55337,952-736-5464,Dakota,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,44.7650881,-93.2957599,27037.0,14377.0,13.63,38.0,74.01,42.22,6.26,266000.0,7.14,1.56,86036.0,6.2,4.95,82.08,97.0,6.05,439882.0,7201.0,65206.0
31747,2 Caring Hands Inc,18712 EUCLID PATH,Farmington,MN,55024,651-344-8627,Dakota,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,44.6782898,-93.1796526,27037.0,14377.0,13.63,38.0,74.01,42.22,6.26,266000.0,7.14,1.56,86036.0,6.2,4.95,82.08,97.0,6.05,439882.0,7201.0,65206.0
35690,2016 Home,2016 123RD AVENUE NW,Coon Rapids,MN,55448,612-203-4758,Anoka,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.193619,-93.3178105,27003.0,13004.0,13.53,39.0,80.1,30.51,6.25,232400.0,4.57,1.34,82175.0,6.3,6.02,83.62,100.0,5.89,363887.0,4824.0,52036.0
34709,24 Seven Home Care Inc,9120 CAMBRIDGE AVENUE,Brooklyn Park,MN,55443,612-886-2828,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,45.1196133,-93.3260665,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36987,"24-Seven Home Care, Inc.",10774 REGENT AVENUE NORTH,Brooklyn Park,MN,55443,612-886-2828,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,45.1498632,-93.3447649,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
37213,"24-Seven Home Care, Inc.",5629 80TH AVENUE NORTH,Brooklyn Park,MN,55443,612-886-2828,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,45.099074,-93.35303,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36299,3Care Health Llc,6273 WEST 144TH STREET,Savage,MN,55378,952-297-1393,Scott,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.7438097,-93.3582375,27139.0,3009.0,10.42,37.0,82.85,39.86,4.27,299700.0,5.14,1.35,102152.0,5.9,5.34,83.96,99.0,5.51,150928.0,1681.0,17632.0
37301,"611 Flats, Llc",611 MONROE STREET NE,Minneapolis,MN,55113,612-584-4163,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.9954668,-93.2520565,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
35874,83Rd Place,7808 83RD AVENUE NORTH,Brooklyn Park,MN,55445,763-493-5067,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.10516,-93.3820468,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36178,A Caring Home Llc,6231 BLOOMINGTON AVENUE,Richfield,MN,55423,612-750-5968,Hennepin,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.8896027,-93.2525679,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
37271,A Caring Home Llc,712 EAST 152ND STREET,Burnsville,MN,55306,612-750-5968,Dakota,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.7292401,-93.2647474,27037.0,14377.0,13.63,38.0,74.01,42.22,6.26,266000.0,7.14,1.56,86036.0,6.2,4.95,82.08,97.0,6.05,439882.0,7201.0,65206.0
33676,A Daughter'S Love Suites,510 4TH STREET NE,Staples,MN,56479,218-296-2090,Todd,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,46.3595543,-94.7943402,27153.0,1500.0,20.91,44.0,82.57,15.12,0.71,153400.0,6.03,2.54,53585.0,5.3,12.99,94.35,106.0,11.87,25262.0,543.0,5178.0
33677,A Daughter'S Love Suites,512 4TH STREET NE,Staples,MN,56479,218-296-2090,Todd,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,46.3595701,-94.7946262,27153.0,1500.0,20.91,44.0,82.57,15.12,0.71,153400.0,6.03,2.54,53585.0,5.3,12.99,94.35,106.0,11.87,25262.0,543.0,5178.0
33678,A Daughter'S Love Suites,514 4TH STREET NE,Staples,MN,56479,218-296-2090,Todd,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,46.3595545,-94.7944301,27153.0,1500.0,20.91,44.0,82.57,15.12,0.71,153400.0,6.03,2.54,53585.0,5.3,12.99,94.35,106.0,11.87,25262.0,543.0,5178.0
36902,"A Daughters Love, Inc.",25184 THUNDER ROAD,Staples,MN,56479,218-296-2090,Todd,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,46.3545608,-94.837662,27153.0,1500.0,20.91,44.0,82.57,15.12,0.71,153400.0,6.03,2.54,53585.0,5.3,12.99,94.35,106.0,11.87,25262.0,543.0,5178.0
33206,A Helping Hand Senior Care Ser,2527 14TH AVENUE SOUTH,Minneapolis,MN,55404,612-255-3110,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.9563948,-93.2547137,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
33208,A Helping Hand Senior Care Ser,2446 15TH AVENUE SOUTH,Minneapolis,MN,55404,612-255-3110,Hennepin,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.9575462,-93.253938,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
33209,A Helping Hand Senior Care Ser,778 BLAIR AVENUE,St. Paul,MN,55104,612-255-3110,Ramsey,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.9609741,-93.1330226,27123.0,26708.0,14.09,35.0,59.44,42.26,12.09,229600.0,7.48,2.07,64660.0,6.9,9.72,66.35,95.0,13.97,552352.0,11268.0,85032.0
30713,A Touch Of Home North,915 21ST STREET NW,Bemidji,MN,56601,218-444-5878,Beltrami,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,47.4892783,-94.8927507,27007.0,2909.0,15.55,34.0,67.06,29.22,1.57,162600.0,2.44,1.81,49160.0,6.3,7.87,72.88,99.0,18.89,46228.0,934.0,7944.0
32825,A-1 Reliable Home Care Inc,5716 42ND AVENUE NORTH,Robbinsdale,MN,55422,952-393-7857,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,45.0319911,-93.3529756,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
33963,A-1 Reliable Home Care Inc,5824 42ND AVENUE NORTH,Robbinsdale,MN,55422,952-393-7857,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,45.0322792,-93.3548056,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
33415,A-1 Reliable Home Care Inc,1608 CARROLL AVENUE,St Paul,MN,55104,952-393-7857,Ramsey,,,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,44.950022,-93.1682786,27123.0,26708.0,14.09,35.0,59.44,42.26,12.09,229600.0,7.48,2.07,64660.0,6.9,9.72,66.35,95.0,13.97,552352.0,11268.0,85032.0
33981,A-A-H Mercy Home Health,3554 JUNE AVENUE NORTH,Robbinsdale,MN,55422,952-201-9645,Hennepin,,,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,45.0203359,-93.3333587,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
36039,Aaran Care Inc,660 JESSAMINE AVENUE EAST,St. Paul,MN,55106,612-250-3371,Ramsey,,,HOUSING WITH SERVICES,7/12/21,,,,CORPORATION,44.974481,-93.072598,27123.0,26708.0,14.09,35.0,59.44,42.26,12.09,229600.0,7.48,2.07,64660.0,6.9,9.72,66.35,95.0,13.97,552352.0,11268.0,85032.0
32750,Abiitan Mill City,428 SOUTH 2ND STREET,Minneapolis,MN,55401,612-378-0020,Hennepin,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,NONPROFIT CORPORATION,44.9804657,-93.2610228,27053.0,52721.0,13.68,37.0,62.37,50.06,13.26,276900.0,6.92,1.88,78167.0,6.6,6.66,72.05,98.0,10.45,1281565.0,23724.0,189086.0
24053,Abilit Holdings Prairie Meadow,800 5TH AVE NW,Kasson,MN,55944,507-634-9500,Dodge,,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.037755,-92.7541044,27039.0,971.0,14.42,38.0,83.94,25.75,0.33,183900.0,4.97,1.9,74575.0,5.4,5.14,94.69,101.0,5.14,20867.0,387.0,3168.0
35624,Abraham'S Bosom Care Llc,437 TOWER STREET,St Paul,MN,55119,651-428-9170,Ramsey,,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21,,,,LIMITED LIABILITY COMPANY,44.9541202,-93.0061767,27123.0,26708.0,14.09,35.0,59.44,42.26,12.09,229600.0,7.48,2.07,64660.0,6.9,9.72,66.35,95.0,13.97,552352.0,11268.0,85032.0
